timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ
1706815773993,0.0,0.0,63.0,2.8275523,-5.959168,7.0964136,-14.94,42.059998,-3.36,-0.015882496,-0.012217305,-0.029321533
1706815775114,0.0,0.0,62.0,2.80361,-5.9926867,7.237672,-14.219999,41.16,-2.04,-0.0061086523,-0.0012217305,-0.0012217305
1706815776233,0.0,0.0,62.0,2.741361,-6.069301,7.1634517,-14.4,41.28,-2.3999999,0.0,0.0012217305,0.007330383
1706815777353,0.0,0.0,62.0,2.822764,-6.105214,7.1490865,-13.86,41.64,-2.1599998,0.0012217305,0.0012217305,0.0036651916
1706815778474,0.0,0.0,63.0,2.8275523,-6.0405707,7.1083846,-14.88,42.12,-2.46,0.0,0.0012217305,0.0
1706815779594,0.0,0.0,63.0,2.7605145,-6.0980315,7.1083846,-13.259999,41.82,-1.14,0.002443461,0.0061086523,-0.002443461
1706815780718,0.0,0.0,65.0,2.7724855,-6.136339,7.144298,-14.219999,41.94,-2.6399999,-0.002443461,0.0,0.004886922
1706815781835,0.0,0.0,67.0,2.755726,-6.0836663,7.1083846,-13.799999,41.46,-1.74,-0.0036651916,0.0061086523,-0.010995574
1706815782956,0.0,0.0,68.0,3.074155,-6.3326635,7.2472486,-14.219999,41.399998,-2.1599998,-0.0012217305,0.002443461,0.002443461
1706815784077,0.0,0.0,66.0,2.8514943,-6.078878,7.153875,-14.219999,41.219997,-0.84,-0.0012217305,-0.0012217305,-0.002443461
1706815785196,0.0,0.0,65.0,3.217807,-4.757279,7.824251,-15.599999,42.239998,-3.06,0.4288274,-0.032986723,-0.18325958
1706815786316,0.0,0.0,64.0,3.1028855,-4.9775453,7.726089,-15.12,38.1,-5.2799997,0.0061086523,-0.0012217305,0.002443461
1706815787437,0.0,0.0,68.0,2.9855695,-5.08289,7.905654,-16.32,39.059998,-7.02,0.0061086523,0.012217305,0.02321288
1706815788515,0.0,0.0,72.0,3.086126,-5.080496,7.807492,-15.96,38.579998,-6.24,-0.002443461,0.0061086523,0.0036651916
1706815789677,0.0,0.0,69.0,2.9999347,-5.0517654,7.8769236,-16.26,39.239998,-7.68,0.0061086523,-0.002443461,-0.002443461
1706815790795,0.0,0.0,67.0,2.9951463,-5.0517654,7.788338,-16.02,39.36,-7.2599998,0.0012217305,0.002443461,-0.0012217305
1706815791917,0.0,0.0,66.0,2.906561,-5.0254292,7.8027034,-15.96,39.059998,-7.2599998,-0.009773844,0.0,0.0012217305
1706815793033,0.0,0.0,65.0,2.9903579,-5.0421886,7.8625584,-15.9,39.54,-7.2599998,0.009773844,0.007330383,-0.004886922
1706815794157,0.0,0.0,63.0,2.9783869,-5.0397944,7.884106,-16.199999,39.059998,-6.8399997,0.007330383,0.004886922,-0.004886922
1706815795273,0.0,0.0,62.0,2.9855695,-5.097255,7.785944,-16.199999,38.76,-7.68,-0.0012217305,0.0036651916,0.0
1706815796395,0.0,0.0,63.0,3.028665,-6.373365,7.314286,-16.199999,39.42,-6.48,-0.6743952,-0.06719518,0.13561209
1706815797515,0.0,0.0,63.0,8.23366,-2.7748797,3.7780502,-21.72,29.939999,23.699999,-0.10751228,-0.31887165,-1.7189748
1706815798636,0.0,0.0,65.0,8.767567,-2.846706,2.753332,-33.18,6.7799997,7.02,0.02687807,-0.33964106,-0.17959438
1706815799755,0.0,0.0,65.0,8.78672,-3.5003228,2.1452048,-34.5,1.56,12.78,0.015882496,0.012217305,-0.014660766
1706815800874,0.0,0.0,66.0,8.858546,-3.9935284,1.9153614,-33.54,-4.38,10.74,-0.2761111,0.07086037,0.13683382
1706815801994,0.0,0.0,65.0,8.808268,-3.86903,2.0518308,-34.02,-1.5,8.82,0.028099801,-0.02443461,0.02443461
1706815803113,0.0,0.0,65.0,8.465898,-1.9752164,4.685453,-32.04,-0.53999996,12.3,1.5870279,0.019547688,0.15027285
1706815804233,0.0,0.0,64.0,8.037335,-2.0231004,5.0158525,-34.079998,5.1,6.96,-0.07452556,0.012217305,-0.0720821
1706815805352,0.0,0.0,65.0,8.355764,-2.1978772,4.608838,-32.7,3.24,6.72,0.017104227,-0.030543262,-0.047647487
1706815806472,0.0,0.0,62.0,8.171411,-1.6089035,5.506664,-32.94,2.22,6.66,0.019547688,0.015882496,0.017104227
1706815807515,0.0,0.0,63.0,1.4772224,-8.185776,4.3047748,-15.719999,40.379997,14.04,-1.1166617,0.27000242,-0.02321288
1706815808712,0.0,0.0,62.0,1.9632454,-9.5385,0.320823,-12.96,35.82,28.5,-0.25045475,-0.10751228,-0.029321533
1706815809831,0.0,0.0,63.0,1.7501614,-9.545682,1.4532804,-12.78,33.54,32.94,0.08674286,-0.002443461,-0.019547688
1706815810952,0.0,0.0,64.0,1.1611878,-8.255207,4.120421,-10.62,39.719997,26.279999,0.4373795,-0.017104227,-0.02443461
1706815812070,0.0,0.0,64.0,8.37013,-2.2146366,5.08289,-34.8,17.52,2.9399998,-0.13316862,0.111177474,-0.042760566
1706815813191,0.0,0.0,65.0,8.192958,-2.8682537,4.8841715,-46.559998,-4.8599997,4.38,-0.008552114,-0.015882496,0.0036651916
1706815814308,0.0,0.0,65.0,8.295909,-2.315193,4.8027687,-46.559998,-4.2,5.64,-0.009773844,0.018325957,0.02321288
1706815815431,0.0,0.0,64.0,8.322245,-2.3702598,4.805163,-46.98,-4.56,5.46,0.012217305,0.0036651916,-0.004886922
1706815816516,0.0,0.0,65.0,8.157045,-2.3463178,4.8937483,-46.079998,-4.08,6.42,-0.10873401,-0.014660766,-0.039095376
1706815817673,0.0,0.0,65.0,8.259995,-2.8443117,4.7548847,-46.739998,-5.58,7.3199997,0.002443461,-0.040317107,-0.004886922
